verdict	role	callee	param	default	passed	file	line
TACIT	prod	PresenceArbiter	presentThreshold	0.45	—	residue.swift	7
TACIT	prod	PresenceArbiter	presentThreshold	0.45	—	residue.swift	9
TACIT	prod	greet	greeting	"hi"	—	residue.py	5
SHADOW	prod	greet	greeting	"hi"	"hi"	residue.py	6
TACIT	prod	greet	times	1	—	residue.py	5
TACIT	prod	greet	times	1	—	residue.py	6
