why	verdict	role	callee	param	default	passed	file	line
BLAST	TACIT	prod	PresenceArbiter	absentThreshold	0.4→0.35	—	a.swift	5
BLAST	TACIT	prod	PresenceArbiter	absentThreshold	0.4→0.35	—	a.swift	6
BLAST	TACIT	prod	PresenceArbiter	absentThreshold	0.4→0.35	—	a.swift	7
BLAST	TACIT	prod	PresenceArbiter	presentThreshold	0.45	—	a.swift	5
LOCK	OVERRIDE	prod	PresenceArbiter	presentThreshold	0.45	0.4	a.swift	6
PRE	SHADOW	prod	PresenceArbiter	presentThreshold	0.45	0.45	a.swift	7
