agree_name	rc=0	agree	Item.Name	list	Items	list_json	items,omitempty	elem	Item	field	Name	json	name	optional	-	protobuf	-	identity	listMapKey
agree_name_check	rc=0	agree	Item.Name	list	Items	list_json	items,omitempty	elem	Item	field	Name	json	name	optional	-	protobuf	-	identity	listMapKey
unseen_ports	rc=0	disagree	ContainerPort.ContainerPort	list	Ports	list_json	ports,omitempty	elem	ContainerPort	field	ContainerPort	json	containerPort,omitempty	optional	omitempty	protobuf	-	identity	listMapKey
identity_shaped_text	rc=2	unparsed	x-kubernetes-list-map-keys
identity_shaped_listmapkey_text	rc=2	unparsed	+listMapKey
join_none_empty	rc=0	join	none
block_comment	rc=2	unparsed	+listMapKey
patch_merge_only	rc=0	join	none
listmapkey_on_type	rc=2	unparsed	+listMapKey
protobuf_opt_required_json	rc=0	agree	Item.Name	list	Items	list_json	items	elem	Item	field	Name	json	name	optional	-	protobuf	opt	identity	listMapKey
omitzero	rc=0	disagree	Item.Name	list	Items	list_json	items	elem	Item	field	Name	json	name,omitzero	optional	omitzero	protobuf	-	identity	listMapKey
kubebuilder_optional	rc=0	disagree	Item.Name	list	Items	list_json	items	elem	Item	field	Name	json	name	optional	+optional	protobuf	-	identity	listMapKey
json_inline_named	rc=0	disagree	HostAlias.IP	list	HostAliases	list_json	hostAliases	elem	HostAlias	field	IP	json	ip,omitempty	optional	omitempty	protobuf	-	identity	listMapKey
json_inline_empty_name	rc=0	disagree	HostAlias.IP	list	HostAliases	list_json	hostAliases	elem	HostAlias	field	IP	json	ip,omitempty	optional	omitempty	protobuf	-	identity	listMapKey
go_yaml_same_blob	rc=0	disagree	LocalObjectReference.Name	list	ImagePullSecrets	list_json	imagePullSecrets,omitempty	elem	LocalObjectReference	field	Name	json	name,omitempty	optional	+optional,omitempty	protobuf	opt	identity	listMapKey,patchMergeKey
check_collision	rc=1	collision	HostAlias.ip	list	HostAliases	list_json	hostAliases	elem	HostAlias	field	ip	json	duplicate-type	optional	-	protobuf	-	identity	listMapKey
check_missing	rc=1	missing	HostAlias.ip	list	HostAliases	list_json	hostAliases	elem	HostAlias	field	ip	json	-	optional	-	protobuf	-	identity	listMapKey
check_allow_missing	rc=0	missing	HostAlias.ip	list	HostAliases	list_json	hostAliases	elem	HostAlias	field	ip	json	-	optional	-	protobuf	-	identity	listMapKey
two_files_split	rc=0	join	none
star_slice	rc=0	missing	-.ip	list	HostAliases	list_json	hostAliases	elem	-	field	ip	json	-	optional	-	protobuf	-	identity	listMapKey
type_alias	rc=0	missing	Alias.ip	list	HostAliases	list_json	hostAliases	elem	Alias	field	ip	json	-	optional	-	protobuf	-	identity	listMapKey
anon_struct	rc=2	unparsed	+listMapKey
generics	rc=0	missing	T.name	list	Items	list_json	items	elem	T	field	name	json	-	optional	-	protobuf	-	identity	listMapKey
listmapkey_on_elem_field	rc=0	missing	-.name	list	Name	list_json	name,omitempty	elem	-	field	name	json	-	optional	-	protobuf	-	identity	listMapKey
var_clears_markers	rc=2	unparsed	+listMapKey
same_line_marker	rc=0	disagree	Item.Name	list	Items	list_json	items	elem	Item	field	Name	json	name,omitempty	optional	omitempty	protobuf	-	identity	listMapKey
yaml_anchors	rc=2	unparsed	x-kubernetes-list-map-keys
observed_crd_fragment	rc=0	disagree	imagePullSecrets.name	list	imagePullSecrets	list_json	imagePullSecrets	elem	imagePullSecrets	field	name	json	name	optional	not-required	protobuf	-	identity	x-kubernetes-list-map-keys
yaml_required_wrong_level	rc=0	agree	hostAliases.ip	list	hostAliases	list_json	hostAliases	elem	hostAliases	field	ip	json	ip	optional	-	protobuf	-	identity	x-kubernetes-list-map-keys
optional_no_omitempty	rc=0	disagree	Item.Name	list	Items	list_json	items	elem	Item	field	Name	json	name	optional	+optional	protobuf	-	identity	listMapKey
json_name_tab	rc=0	missing	Item.name	list	Items	list_json	items	elem	Item	field	name	json	-	optional	-	protobuf	-	identity	listMapKey
listmapkey_empty_eq	rc=2	unparsed	+listMapKey
unparsed_plus_garbage_yaml	rc=2	unparsed	x-kubernetes-list-map-keys
dev_null	rc=0	join	none
missing_file	rc=1	
directory	rc=1	
multi_agree_ports	rc=0	agree	Item.Name	list	Items	list_json	items,omitempty	elem	Item	field	Name	json	name	optional	-	protobuf	-	identity	listMapKey
check_identity_text	rc=2	unparsed	x-kubernetes-list-map-keys
json_omitempty_listmapkey_omitempty	rc=0	missing	Item.omitempty	list	Items	list_json	items	elem	Item	field	omitempty	json	-	optional	-	protobuf	-	identity	listMapKey
two_case_json_collision	rc=0	disagree	Item.A	list	Items	list_json	items	elem	Item	field	A	json	name,omitempty	optional	omitempty	protobuf	-	identity	listMapKey
folded_only_collision	rc=0	collision	Item.A,B	list	Items	list_json	items	elem	Item	field	A,B	json	name,omitempty,Name	optional	-	protobuf	-	identity	listMapKey
split_files	rc=0	disagree	HostAlias.IP	list	HostAliases	list_json	hostAliases	elem	HostAlias	field	IP	json	ip,omitempty	optional	omitempty	protobuf	-	identity	listMapKey
split_files_reversed	rc=0	disagree	HostAlias.IP	list	HostAliases	list_json	hostAliases	elem	HostAlias	field	IP	json	ip,omitempty	optional	omitempty	protobuf	-	identity	listMapKey
